"Seconds";"Speed";"RPM";"Distance";"Calories";"Pulse";"Watts";"Load";"CurrentSessionLevel";"OriginalLevel";"SessionSkalaModifier";"CurrentSkalaModifier";"ANT_RR";"ANT_InstantHR";"CurrentPicture";"CurrentSessionNumber"
"757";"16.4";"44";"0.6";"8";"0";"50.0";"9";"9";"2";"7";"7";"0.694";"88";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"756";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.714";"87";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"755";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.7";"87";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"754";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.721";"87";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"753";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.713";"87";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"752";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.713";"87";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"751";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.72";"86";"/storage/emulated/0/Documents/images/TE5/0507a.jpg";"13"
"750";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.701";"87";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
"749";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.71";"86";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
"748";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.698";"87";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
"747";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.706";"87";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
"746";"16.0";"43";"0.6";"8";"0";"48.0";"9";"9";"2";"7";"7";"0.705";"87";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
"745";"16.0";"43";"0.6";"9";"0";"48.0";"9";"9";"2";"7";"7";"0.701";"87";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
"744";"16.0";"43";"0.7";"9";"0";"48.0";"9";"9";"2";"7";"7";"0.715";"86";"/storage/emulated/0/Documents/images/TE5/0727a.jpg";"13"
